ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,25031.9388810192,4337.399355983939,46226.256354230274,25031.9388810192,25031.9388810192,-755.7533500385845,-755.7533500385845,-755.7533500385845,-755.7533500385845,-755.7533500385845,-755.7533500385845,0.0,0.0,0.0,24276.185530980616
2010-12-02,25025.607597254624,9392.992734732898,53080.971006410335,25025.607597254624,25025.607597254624,6543.299796581411,6543.299796581411,6543.299796581411,6543.299796581411,6543.299796581411,6543.299796581411,0.0,0.0,0.0,31568.907393836034
2010-12-03,25019.27631349005,531.7479510970553,46975.65750065715,25019.27631349005,25019.27631349005,-1481.1376453344565,-1481.1376453344565,-1481.1376453344565,-1481.1376453344565,-1481.1376453344565,-1481.1376453344565,0.0,0.0,0.0,23538.138668155592
2010-12-05,25006.613745960898,-14131.140673438924,33594.78860420083,25006.613745960898,25006.613745960898,-14924.62828570823,-14924.62828570823,-14924.62828570823,-14924.62828570823,-14924.62828570823,-14924.62828570823,0.0,0.0,0.0,10081.985460252668
2010-12-06,25000.28246219632,370.9486539631283,45640.42182248316,25000.28246219632,25000.28246219632,-2002.8833339053417,-2002.8833339053417,-2002.8833339053417,-2002.8833339053417,-2002.8833339053417,-2002.8833339053417,0.0,0.0,0.0,22997.399128290977
2010-12-07,24993.951178431744,6242.323016929206,50189.83965450216,24993.951178431744,24993.951178431744,1972.9709726996396,1972.9709726996396,1972.9709726996396,1972.9709726996396,1972.9709726996396,1972.9709726996396,0.0,0.0,0.0,26966.922151131384
2010-12-08,24987.61989466717,1994.9511506937092,47073.752449731015,24987.61989466717,24987.61989466717,-755.7533499991092,-755.7533499991092,-755.7533499991092,-755.7533499991092,-755.7533499991092,-755.7533499991092,0.0,0.0,0.0,24231.86654466806
2010-12-09,24981.288610902593,9292.538607970146,54677.682187089034,24981.288610902593,24981.288610902593,6543.2997965523455,6543.2997965523455,6543.2997965523455,6543.2997965523455,6543.2997965523455,6543.2997965523455,0.0,0.0,0.0,31524.58840745494
2010-12-10,24974.957327138018,630.5968656528624,46167.34972525803,24974.957327138018,24974.957327138018,-1481.1376453434043,-1481.1376453434043,-1481.1376453434043,-1481.1376453434043,-1481.1376453434043,-1481.1376453434043,0.0,0.0,0.0,23493.819681794612
2010-12-12,24962.294759608863,-12402.048546265267,33322.4176515569,24962.294759608863,24962.294759608863,-14924.628285705881,-14924.628285705881,-14924.628285705881,-14924.628285705881,-14924.628285705881,-14924.628285705881,0.0,0.0,0.0,10037.666473902982
2010-12-13,24955.963475844288,196.9914273371138,45178.379116821954,24955.963475844288,24955.963475844288,-2002.8833339099622,-2002.8833339099622,-2002.8833339099622,-2002.8833339099622,-2002.8833339099622,-2002.8833339099622,0.0,0.0,0.0,22953.080141934326
2010-12-14,24949.632187472605,3791.0649267120743,49669.83162912165,24949.632187472605,24949.632187472605,1972.9709726582362,1972.9709726582362,1972.9709726582362,1972.9709726582362,1972.9709726582362,1972.9709726582362,0.0,0.0,0.0,26922.603160130842
2010-12-15,24943.30089910092,2571.7416770797117,47168.20657766481,24943.30089910092,24943.30089910092,-755.753350006241,-755.753350006241,-755.753350006241,-755.753350006241,-755.753350006241,-755.753350006241,0.0,0.0,0.0,24187.547549094677
2010-12-16,24936.969610729233,9080.478024906846,53614.76724160662,24936.969610729233,24936.969610729233,6543.299796557184,6543.299796557184,6543.299796557184,6543.299796557184,6543.299796557184,6543.299796557184,0.0,0.0,0.0,31480.269407286418
2010-12-17,24930.638322357547,922.7453630321396,44604.29625219478,24930.638322357547,24930.638322357547,-1481.1376453449764,-1481.1376453449764,-1481.1376453449764,-1481.1376453449764,-1481.1376453449764,-1481.1376453449764,0.0,0.0,0.0,23449.50067701257
2010-12-19,24917.975745614174,-12593.784562703326,33947.165499806135,24917.975745614174,24917.975745614174,-14924.628285735354,-14924.628285735354,-14924.628285735354,-14924.628285735354,-14924.628285735354,-14924.628285735354,0.0,0.0,0.0,9993.34745987882
2010-12-20,24911.644457242488,1074.8309632871112,45562.38111403388,24911.644457242488,24911.644457242488,-2002.8833338645443,-2002.8833338645443,-2002.8833338645443,-2002.8833338645443,-2002.8833338645443,-2002.8833338645443,0.0,0.0,0.0,22908.761123377943
2010-12-21,24905.3131688708,5310.937310205838,49946.66214532242,24905.3131688708,24905.3131688708,1972.9709727133566,1972.9709727133566,1972.9709727133566,1972.9709727133566,1972.9709727133566,1972.9709727133566,0.0,0.0,0.0,26878.284141584158
2010-12-22,24898.981880499116,-770.8564993470549,45803.594104337724,24898.981880499116,24898.981880499116,-755.753350021871,-755.753350021871,-755.753350021871,-755.753350021871,-755.753350021871,-755.753350021871,0.0,0.0,0.0,24143.228530477245
2010-12-23,24892.65059212743,9114.985082214298,53978.91005357928,24892.65059212743,24892.65059212743,6543.299796569059,6543.299796569059,6543.299796569059,6543.299796569059,6543.299796569059,6543.299796569059,0.0,0.0,0.0,31435.95038869649
2011-01-04,24816.67519870789,3768.0466846464806,48447.5290734246,24816.67519870789,24816.67519870789,1972.970972688898,1972.970972688898,1972.970972688898,1972.970972688898,1972.970972688898,1972.970972688898,0.0,0.0,0.0,26789.646171396787
2011-01-05,24810.343915922927,679.6210115342516,47416.71668862443,24810.343915922927,24810.343915922927,-755.753349998027,-755.753349998027,-755.753349998027,-755.753349998027,-755.753349998027,-755.753349998027,0.0,0.0,0.0,24054.5905659249
